"date","province","retail_and_recreation","grocery_and_pharmacy","park","transit","workplace","resident"
"2022-02-09",Bali,-24,-6,-34,-60,-32,13
"2022-02-10",Bali,-27,-10,-39,-60,-29,14
"2022-02-11",Bali,-27,-10,-41,-64,-27,15
"2022-02-12",Bali,-26,-10,-43,-62,-25,12
"2022-02-13",Bali,-29,-11,-39,-65,-23,13
"2022-02-14",Bali,-22,-1,-40,-62,-27,13
"2022-02-15",Bali,-25,-10,-33,-61,-29,12
"2022-02-16",Bali,-23,-6,-36,-61,-27,13
"2022-02-17",Bali,-25,-9,-32,-61,-27,13
"2022-02-18",Bali,-26,-11,-39,-65,-23,13
"2022-02-19",Bali,-22,-7,-36,-61,-21,10
"2022-02-20",Bali,-25,-8,-27,-63,-20,10
"2022-02-21",Bali,-37,-21,-52,-65,-32,18
"2022-02-22",Bali,-22,-6,-35,-61,-25,11
"2022-02-23",Bali,-24,-8,-34,-60,-25,13
"2022-02-24",Bali,-23,-8,-28,-58,-22,12
"2022-02-25",Bali,-26,-9,-36,-59,-20,13
"2022-02-26",Bali,-20,0,-32,-49,-19,9
"2022-02-27",Bali,-20,2,-19,-57,-16,9
"2022-02-28",Bali,-17,4,-1,-54,-48,15
"2022-03-01",Bali,-15,18,-22,-54,-28,10
"2022-03-02",Bali,-21,29,-9,-56,-55,13
"2022-03-03",Bali,-88,-90,-71,-97,-92,46
"2022-03-04",Bali,-27,-13,14,-65,-58,11
"2022-03-05",Bali,-23,-7,-29,-58,-24,11
"2022-03-06",Bali,-24,-6,-28,-56,-17,12
"2022-03-07",Bali,-19,-1,-17,-54,-28,11
"2022-03-08",Bali,-19,-2,-12,-55,-24,13
"2022-03-09",Bali,-20,-6,-14,-53,-25,15
"2022-03-10",Bali,-20,-8,-14,-55,-20,15
"2022-03-11",Bali,-20,-7,-16,-57,-18,16
"2022-03-12",Bali,-17,-4,-18,-53,-14,14
"2022-03-13",Bali,-22,-8,-13,-56,-14,15
"2022-03-14",Bali,-17,-1,-6,-52,-18,16
"2022-03-15",Bali,-18,-4,-9,-51,-18,16
"2022-03-16",Bali,-16,0,-6,-50,-18,16
"2022-03-17",Bali,-19,-6,2,-52,-21,15
"2022-03-18",Bali,-21,-8,-16,-53,-16,16
"2022-03-19",Bali,-23,-10,-29,-49,-16,15
"2022-03-20",Bali,-27,-13,-27,-51,-15,16
"2022-03-21",Bali,-18,-3,-14,-46,-16,16
"2022-03-22",Bali,-20,-9,-8,-44,-19,16
"2022-03-23",Bali,-14,0,0,-43,-17,15
"2022-03-24",Bali,-16,-4,-5,-44,-15,15
"2022-03-25",Bali,-16,-1,-6,-45,-15,15
"2022-03-26",Bali,-17,-5,-8,-46,-17,13
"2022-03-27",Bali,-20,-6,1,-49,-14,12
"2022-03-28",Bali,-16,0,-8,-43,-16,15
"2022-03-29",Bali,-17,-2,-8,-44,-19,15
"2022-03-30",Bali,-15,-4,5,-46,-38,18
"2022-03-31",Bali,-15,-2,-1,-49,-15,13
"2022-04-01",Bali,-19,-3,-20,-55,-13,15
"2022-04-02",Bali,-16,2,-20,-54,-14,12
"2022-04-03",Bali,-22,-3,-21,-62,-15,14
"2022-04-04",Bali,-18,-1,-12,-59,-14,14
"2022-04-05",Bali,-19,-4,-18,-58,-14,14
"2022-04-06",Bali,-17,-1,-14,-57,-14,15
"2022-04-07",Bali,-17,-3,-13,-57,-11,14
"2022-04-08",Bali,-18,-2,-20,-61,-9,14
"2022-04-09",Bali,-25,-10,-29,-60,-15,15
"2022-04-10",Bali,-20,-4,-17,-60,-13,12
"2022-04-11",Bali,-17,-1,-14,-57,-11,14
"2022-04-12",Bali,-17,-4,-14,-54,-12,14
"2022-04-13",Bali,-16,-2,-11,-53,-12,15
"2022-04-14",Bali,-16,-2,-11,-51,-11,13
"2022-04-15",Bali,-19,-6,-5,-59,-43,21
"2022-04-16",Bali,-19,-4,-17,-59,-12,13
"2022-04-17",Bali,-19,-4,-13,-55,-11,13
"2022-04-18",Bali,-17,-1,-12,-52,-13,14
"2022-04-19",Bali,-19,-5,-15,-53,-14,15
"2022-04-20",Bali,-19,-4,-21,-54,-12,16
"2022-04-21",Bali,-17,-3,-13,-53,-10,14
"2022-04-22",Bali,-17,-3,-14,-57,-8,14
"2022-04-23",Bali,-16,-1,-18,-55,-8,12
"2022-04-24",Bali,-17,-1,-12,-57,-9,13
"2022-04-25",Bali,-15,3,-10,-52,-12,14
"2022-04-26",Bali,-15,1,-13,-47,-12,13
"2022-04-27",Bali,-13,4,-10,-46,-11,13
"2022-04-28",Bali,-13,6,-5,-42,-12,12
"2022-04-29",Bali,-14,4,-8,-45,-30,16
"2022-04-30",Bali,-15,4,-10,-37,-21,11
"2022-05-01",Bali,-14,6,8,-43,-19,10
"2022-05-02",Bali,-10,2,65,-39,-58,17
"2022-05-03",Bali,-10,1,72,-35,-57,16
"2022-05-04",Bali,-9,5,55,-35,-43,16
"2022-05-05",Bali,-8,6,53,-34,-40,15
"2022-05-06",Bali,-12,2,33,-41,-37,15
"2022-05-07",Bali,-15,-1,5,-34,-22,11
"2022-05-08",Bali,-19,-5,-9,-37,-16,13
"2022-05-09",Bali,-15,0,-1,-34,-14,13
"2022-05-10",Bali,-15,-2,-4,-33,-14,13
"2022-05-11",Bali,-13,2,-4,-38,-12,13
"2022-05-12",Bali,-15,-1,-1,-40,-10,13
"2022-05-13",Bali,-15,-1,-5,-45,-9,13
"2022-05-14",Bali,-15,-1,-3,-37,-11,12
"2022-05-15",Bali,-15,-1,12,-44,-13,11
"2022-05-16",Bali,-12,-1,25,-31,-46,18
"2022-05-17",Bali,-15,-2,-7,-34,-11,13
"2022-05-18",Bali,-14,0,-1,-41,-12,14
"2022-05-19",Bali,-15,-4,0,-40,-10,14
"2022-05-20",Bali,-14,-2,-6,-44,-8,13
"2022-05-21",Bali,-14,-2,-5,-41,-10,11
"2022-05-22",Bali,-16,-2,0,-42,-11,12
"2022-05-23",Bali,-13,1,1,-35,-10,13
"2022-05-24",Bali,-14,-2,5,-37,-15,13
"2022-05-25",Bali,-10,2,9,-33,-15,12
"2022-05-26",Bali,-17,-8,5,-32,-45,20
"2022-05-27",Bali,-11,2,7,-44,-9,12
"2022-05-28",Bali,-11,1,0,-37,-9,11
"2022-05-29",Bali,-13,1,1,-39,-8,12
"2022-05-30",Bali,-11,4,5,-39,-11,11
